display  D   display_settings.c:214  debug_display_settings           [   0.19020] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19045] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.19064] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19081] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.19089] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19103] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19118] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19133] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19147] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19166] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.19177] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19193] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.19215] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19239] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.19256] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19284] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.19316] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19341] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19374] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19408] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19428] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19448] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.19478] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19501] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.19521] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19546] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.19575] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19610] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.19630] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19655] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19677] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19693] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19709] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19736] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.19762] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19787] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.19806] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19845] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.19869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19893] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.19929] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19949] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19969] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19994] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20062] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20087] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20121] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20147] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20171] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20194] Score is : 717
