stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Hayat\source\repos\Projeto-1904\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13558] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13573] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13587] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13600] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13613] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13628] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13651] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13672] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13708] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13738] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13778] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13801] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13825] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13841] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13871] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13892] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13912] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13942] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13963] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13985] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14013] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14030] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14059] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14090] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14103] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14118] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14130] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14143] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14156] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14169] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14190] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14208] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14228] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14254] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14283] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14296] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14310] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14327] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14342] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14362] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14381] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14392] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14410] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14425] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14439] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14452] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14473] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14498] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14525] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14549] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14575] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14588] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14608] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14627] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14638] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14667] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14682] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14693] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14733] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14754] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14778] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14798] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14825] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14850] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14864] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14892] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14949] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14966] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14993] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15018] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15037] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15055] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15071] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15088] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15102] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15117] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15133] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15143] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15155] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15167] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15182] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
